epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1585.35,1.39947,6.53334,0.42349,1.63323,1.85552,0.63606,0.65478,0.70501,0.34212,0.05706,0.10245,0.02423,0.00379,1.60715,7.55263,0.48465,1.32995,2.22488,0.0056935,0.0056935,0.0056935
89,1602.62,1.41985,6.44476,0.43141,1.66259,1.86351,0.62135,0.71818,0.68759,0.34535,0.10016,0.09021,0.02667,0.00455,1.62955,7.48395,0.4855,1.36088,2.30942,0.005644,0.005644,0.005644
90,1619.6,1.3861,6.49154,0.42378,1.61544,1.84552,0.65107,0.65401,0.65252,0.31991,0.07833,0.1028,0.02556,0.0036,1.59858,7.44291,0.52943,1.37739,2.2303,0.0055945,0.0055945,0.0055945
91,1637.24,1.37771,6.39098,0.42327,1.59653,1.83753,0.61295,0.74308,0.70702,0.38699,0.07243,0.0951,0.02801,0.00417,1.56412,7.53966,0.49008,1.30067,2.16932,0.005545,0.005545,0.005545
92,1654.57,1.37011,6.48554,0.42805,1.63486,1.84476,0.67017,0.67928,0.68593,0.35213,0.14841,0.10699,0.03445,0.0046,1.54633,7.41214,0.50575,1.39276,2.2163,0.0054955,0.0054955,0.0054955
93,1672.17,1.37706,6.5415,0.43295,1.60527,1.8426,0.67113,0.76606,0.72912,0.38977,0.08513,0.12867,0.02696,0.0047,1.47841,7.37536,0.48059,1.23954,2.1032,0.005446,0.005446,0.005446
94,1690.2,1.36662,6.43703,0.42148,1.62118,1.83642,0.65639,0.61364,0.66219,0.34775,0.16592,0.09021,0.03841,0.0051,1.65228,7.59533,0.51233,1.39998,2.35934,0.0053965,0.0053965,0.0053965
95,1707.36,1.39177,6.52182,0.42745,1.61278,1.84303,0.60031,0.7042,0.68669,0.33819,0.08223,0.0979,0.03191,0.00555,1.64486,7.50325,0.48439,1.3167,2.32552,0.005347,0.005347,0.005347
96,1724.77,1.35541,6.22207,0.41863,1.59296,1.8358,0.67904,0.69615,0.70147,0.38962,0.09355,0.09196,0.02774,0.00387,1.52414,7.34762,0.48867,1.25047,2.17361,0.0052975,0.0052975,0.0052975
97,1741.91,1.37315,6.31188,0.41716,1.61356,1.83571,0.61588,0.68531,0.67221,0.37512,0.20069,0.09021,0.04001,0.00537,1.50854,7.45448,0.49613,1.30505,2.13665,0.005248,0.005248,0.005248
98,1759.55,1.35716,6.28913,0.42008,1.59607,1.83257,0.75837,0.64825,0.75229,0.38863,0.1358,0.10559,0.04156,0.0083,1.51667,7.35027,0.4796,1.25254,2.14904,0.0051985,0.0051985,0.0051985
99,1776.97,1.38093,6.47018,0.42849,1.59664,1.83081,0.64953,0.72125,0.72694,0.404,0.18202,0.1528,0.06695,0.01073,1.48,7.20226,0.47018,1.28309,2.09798,0.005149,0.005149,0.005149
100,1794.06,1.36809,6.43044,0.42135,1.60038,1.82542,0.76922,0.66678,0.77566,0.43185,0.14436,0.11503,0.05715,0.00826,1.50758,7.30563,0.48276,1.18574,2.16285,0.0050995,0.0050995,0.0050995
101,1811.47,1.35011,6.2249,0.41567,1.59091,1.8197,0.70492,0.69025,0.74279,0.38981,0.15316,0.09336,0.03243,0.00518,1.59113,7.33665,0.49197,1.26348,2.25946,0.00505,0.00505,0.00505
